PSI,ipsi,contra,stimSide
29.9,1,1,R
29.9,1,1,L
29.9,1,1,R
29.9,1,1,L
29.9,1,1,L
29.9,1,1,R
29.9,1,1,R
29.9,1,1,L
3.75,nan,nan,L
3.75,nan,nan,L
3.75,nan,nan,L
3.75,1,1,R
3.75,nan,nan,R
3.75,nan,nan,R
3.75,nan,nan,L
3.75,1,1,R
15.1,1,nan,L
15.1,1,1,L
15.1,1,nan,L
15.1,1,1,R
15.1,1,nan,L
15.1,1,1,R
15.1,1,1,R
15.1,1,1,R
60.5,1,1,L
60.5,1,1,R
60.5,1,1,R
60.5,1,1,L
60.5,1,1,R
60.5,1,1,L
60.5,1,1,L
60.5,1,1,R
60.8,1,1,L
60.8,1,1,R
60.8,1,1,L
60.8,1,1,R
60.8,1,1,R
60.8,1,1,L
60.8,1,1,R
60.8,1,1,L
15.1,1,1,L
15.1,1,1,R
15.1,1,1,L
15.1,1,1,L
15.1,1,1,L
15.1,1,1,R
15.1,1,nan,R
15.1,1,1,R
3.8,nan,nan,L
3.8,nan,nan,R
3.8,nan,nan,L
3.8,nan,nan,R
3.8,nan,nan,R
3.8,nan,nan,L
3.8,nan,nan,L
3.8,nan,nan,R
7.6,1,nan,L
7.6,nan,nan,L
7.6,1,1,L
7.6,1,nan,R
7.6,nan,nan,L
7.6,nan,nan,R
7.6,1,nan,R
7.6,nan,nan,R
30.3,1,1,R
30.3,1,1,R
30.3,1,1,L
30.3,1,1,L
30.3,1,1,R
30.3,1,1,L
30.3,1,1,R
30.3,1,1,L
7.6,nan,nan,R
7.6,1,1,R
7.6,nan,nan,L
7.6,nan,nan,R
7.6,nan,nan,L
7.6,nan,nan,L
7.6,nan,nan,R
7.6,nan,nan,L
7.7,1,1,R
7.7,1,1,R
7.7,1,1,L
7.7,1,1,R
7.7,nan,nan,R
7.7,1,1,L
7.7,1,1,L
7.7,1,nan,L
3.75,nan,nan,R
3.75,nan,nan,L
3.75,nan,nan,R
3.75,nan,nan,L
3.75,nan,nan,L
3.75,nan,nan,L
3.75,nan,nan,R
3.75,nan,nan,R
60.4,1,1,L
60.4,1,1,R
60.4,1,1,L
60.4,1,1,L
60.4,1,1,R
60.4,1,1,L
60.4,1,1,R
60.4,1,1,R
29.8,1,1,L
29.8,1,1,R
29.8,1,1,L
29.8,1,1,R
29.8,1,1,L
29.8,1,1,R
29.8,1,1,R
29.8,1,1,L
15.6,1,nan,L
15.6,1,1,R
15.6,1,1,R
15.6,1,1,L
15.6,1,1,R
15.6,1,1,L
15.6,1,1,R
15.6,1,1,L
15.4,nan,nan,L
15.4,1,1,R
15.4,1,1,R
15.4,1,1,R
15.4,1,1,L
15.4,1,1,R
15.4,1,1,L
15.4,1,1,L
30.1,1,1,L
30.1,1,1,R
30.1,1,1,L
30.1,1,1,L
30.1,1,1,R
30.1,1,1,L
30.1,1,1,R
30.1,1,1,R
60.4,1,1,L
60.4,1,1,L
60.4,1,1,R
60.4,1,1,R
60.4,1,1,R
60.4,1,1,L
60.4,1,1,R
60.4,1,1,L
7.5,1,1,R
7.5,1,nan,L
7.5,1,nan,L
7.5,1,nan,L
7.5,1,1,R
7.5,1,1,L
7.5,1,1,R
7.5,1,nan,R
15.1,1,1,R
15.1,1,1,L
15.1,1,1,L
15.1,1,1,L
15.1,1,1,R
15.1,1,1,L
15.1,1,1,R
15.1,1,1,R
7.7,1,1,R
7.7,1,1,R
7.7,1,nan,L
7.7,nan,nan,L
7.7,1,nan,R
7.7,nan,nan,L
7.7,1,1,R
7.7,nan,nan,L
61,1,1,R
61,1,1,R
61,1,1,L
61,1,1,L
61,1,1,R
61,1,1,R
61,1,1,L
61,1,1,L
3.75,1,1,R
3.75,nan,nan,L
3.75,1,1,R
3.75,1,nan,R
3.75,1,nan,R
3.75,nan,nan,L
3.75,nan,nan,L
3.75,nan,nan,L
3.75,nan,nan,L
3.75,nan,nan,L
3.75,1,nan,R
3.75,nan,nan,R
3.75,1,nan,R
3.75,nan,nan,L
3.75,1,nan,R
3.75,nan,nan,L
30,1,1,R
30,1,1,R
30,1,1,R
30,1,1,L
30,1,1,R
30,1,1,L
30,1,nan,L
30,1,1,L
