Time (mSec),Stimulus (Code),Right (OD),Left (OS)
0,None,290,271
4,None,290,268
7,None,291,268
11,None,291,272
14,None,291,268
18,None,292,269
21,None,292,272
25,None,292,269
29,None,292,272
32,None,292,272
36,None,291,272
39,None,292,271
43,None,293,272
46,None,293,271
50,None,293,272
54,None,293,272
57,None,293,272
61,None,294,273
64,None,293,272
68,None,294,272
71,None,295,274
75,None,294,275
79,None,294,274
82,None,294,274
86,None,296,275
89,None,296,274
93,None,296,274
96,None,296,274
100,None,296,275
104,None,296,275
107,None,296,276
111,None,296,275
114,None,297,276
118,None,298,276
121,None,297,276
125,None,298,276
129,None,298,276
132,None,297,277
136,None,298,275
139,None,298,277
143,None,297,277
146,None,297,278
150,None,297,277
154,None,298,276
157,None,298,278
161,None,298,278
164,None,297,277
168,None,298,278
171,None,298,277
175,None,298,278
179,None,298,277
182,None,298,278
186,None,298,278
189,None,299,278
193,None,299,278
196,None,299,278
200,None,299,278
204,None,298,278
207,None,300,278
211,None,300,278
214,None,300,278
218,None,299,278
221,None,300,278
225,None,299,278
229,None,299,278
232,None,299,278
236,None,299,278
239,None,299,278
243,None,299,277
246,None,298,278
250,None,299,278
254,None,299,278
257,None,298,278
261,None,298,277
264,None,298,278
268,None,299,276
271,None,299,278
275,None,299,278
279,None,299,278
282,None,299,278
286,None,299,278
289,None,299,278
293,None,298,278
296,None,299,278
300,None,298,278
304,None,298,276
307,None,298,277
311,None,297,276
314,None,298,277
318,None,298,276
321,None,298,276
325,None,298,277
329,None,298,277
332,None,298,277
336,None,298,277
339,None,298,278
343,None,299,277
346,None,298,278
350,None,298,278
354,None,298,278
357,None,299,278
361,None,299,278
364,None,299,278
368,None,300,278
371,None,299,278
375,None,299,278
379,None,299,278
382,None,300,278
386,None,300,279
389,None,300,279
393,None,299,279
396,None,300,279
400,None,301,279
404,None,300,279
407,None,301,279
411,None,300,279
414,None,301,279
418,None,301,279
421,None,301,279
425,None,302,280
429,None,301,279
432,None,300,280
436,None,300,280
439,None,301,281
443,None,302,279
446,None,301,280
450,None,301,281
454,TA-OS,302,280
457,None,301,280
461,MC-OS,302,280
464,None,301,280
468,None,301,279
471,None,302,280
475,None,302,280
479,None,301,281
482,None,301,280
486,None,302,280
489,None,301,281
493,None,302,274
496,None,301,281
500,None,302,280
504,None,302,281
507,None,301,280
511,None,301,279
514,None,300,278
518,None,299,278
521,None,297,276
525,None,293,268
529,None,292,256
532,None,286,244
536,None,274,228
539,None,260,208
543,None,248,190
546,None,233,178
550,None,217,170
554,None,217,163
557,None,212,158
561,None,209,152
564,None,208,152
568,None,208,161
571,None,211,164
575,None,213,168
579,None,216,172
582,None,220,176
586,None,223,179
589,None,218,182
593,None,230,186
596,None,233,190
600,None,238,193
604,None,240,196
607,None,245,198
611,None,247,202
614,None,249,200
618,None,252,199
621,None,256,214
625,None,258,218
629,None,261,222
632,None,264,225
636,None,267,228
639,None,269,230
643,None,272,232
646,None,274,236
650,None,276,238
654,None,277,240
657,None,279,242
661,None,280,243
664,None,281,245
668,None,282,246
671,None,282,248
675,None,283,249
679,None,283,248
682,None,284,251
686,None,284,251
689,None,284,252
693,None,284,252
696,None,284,252
700,None,284,251
704,None,284,252
707,None,285,252
711,None,286,252
714,None,285,252
718,None,286,253
721,None,287,255
725,None,287,255
729,None,287,256
732,None,288,257
736,None,288,258
739,None,288,258
743,None,289,258
746,None,289,258
750,None,288,260
754,None,290,260
757,None,291,261
761,None,291,261
764,None,291,261
768,None,292,261
771,None,291,263
775,None,292,261
779,None,291,262
782,None,291,265
786,None,291,266
789,None,292,262
793,None,295,263
796,None,292,262
800,None,292,268
804,None,292,268
807,None,292,268
811,None,292,269
814,None,293,265
818,None,293,266
821,None,294,270
825,None,293,271
829,None,295,267
832,None,293,271
836,None,294,271
839,None,295,268
843,None,294,272
846,None,294,272
850,None,295,268
854,None,295,269
857,None,296,269
861,None,295,272
864,None,296,272
868,None,295,269
871,None,296,269
875,None,296,269
879,None,296,272
882,None,296,269
886,None,295,272
889,None,296,269
893,None,295,269
896,None,296,269
900,None,296,270
904,None,296,270
907,None,296,270
911,None,296,272
914,None,295,272
918,None,296,272
921,None,296,270
925,None,295,270
929,None,296,270
932,None,295,270
936,None,295,272
939,None,296,271
943,None,298,272
946,None,295,273
950,None,296,272
954,None,297,273
957,None,297,273
961,None,297,272
964,None,298,272
968,None,298,272
971,None,298,275
975,None,298,275
979,None,298,275
982,None,298,274
986,None,298,274
989,None,298,275
993,None,298,275
996,None,298,273
1000,None,298,275
1004,None,298,276
1007,None,298,275
1011,None,298,276
1014,None,298,276
1018,None,299,276
1021,None,298,276
1025,None,299,276
1029,None,298,276
1032,None,299,275
1036,None,298,273
1039,None,299,276
1043,None,298,277
1046,None,298,276
1050,None,299,276
1054,None,298,277
1057,None,298,276
1061,None,298,276
1064,None,298,273
1068,None,298,277
1071,None,298,276
1075,None,298,276
1079,None,299,276
1082,None,298,273
1086,None,298,275
1089,None,298,275
1093,None,298,273
1096,None,298,275
1100,None,298,275
1104,None,298,273
1107,None,298,273
1111,None,298,275
1114,None,298,274
1118,None,298,275
1121,None,298,275
1125,None,298,275
1129,None,298,272
1132,None,298,275
1136,None,297,276
1139,None,298,275
1143,None,296,273
1146,None,298,275
1150,None,298,275
1154,None,298,275
1157,None,298,274
1161,None,298,276
1164,None,298,273
1168,None,298,275
1171,None,298,277
1175,None,298,276
1179,None,298,277
1182,None,298,277
1186,None,298,276
1189,None,298,276
1193,None,298,276
1196,None,298,276
1200,None,298,276
1204,None,298,276
1207,None,298,277
1211,None,298,276
1214,None,298,277
1218,None,298,277
1221,None,298,277
1225,None,298,277
1229,None,298,276
1232,None,299,277
1236,None,299,277
1239,None,298,277
1243,None,299,277
1246,None,299,277
1250,None,298,278
1254,None,299,277
1257,None,299,277
1261,None,298,277
1264,None,298,277
1268,None,298,278
1271,None,298,277
1275,None,299,275
1279,None,298,277
1282,None,299,277
1286,None,298,277
1289,None,298,277
1293,None,299,275
1296,None,298,277
1300,None,298,277
1304,None,298,277
1307,None,299,277
1311,None,298,277
1314,None,298,277
1318,None,298,277
1321,None,298,277
1325,None,299,277
1329,None,298,277
1332,None,298,277
1336,None,299,277
1339,None,299,278
1343,None,298,277
1346,None,298,277
1350,None,298,277
1354,None,298,277
1357,None,298,278
1361,None,298,277
1364,None,299,278
1368,None,299,278
1371,None,298,278
1375,None,298,278
1379,None,299,278
1382,None,298,278
1386,None,298,277
1389,None,299,278
1393,None,299,278
1396,None,299,278
1400,None,298,278
1404,None,299,278
1407,None,299,278
1411,None,299,278
1414,None,299,278
1418,None,299,278
1421,None,299,278
1425,None,299,278
1429,None,298,277
1432,None,298,278
1436,None,299,277
1439,None,299,277
1443,None,299,278
1446,None,299,278
1450,None,299,278
1454,None,299,277
1457,None,299,278
1461,None,299,278
1464,None,299,278
1468,None,299,277
1471,None,298,277
1475,None,299,277
1479,None,298,278
1482,None,299,278
1486,None,299,278
1489,None,299,278
1493,None,299,278
1496,None,299,278
1500,None,299,278
1504,None,298,277
1507,None,299,278
1511,None,299,277
1514,None,299,277
1518,None,299,278
1521,None,300,278
1525,None,299,278
1529,None,299,278
1532,None,300,278
1536,None,299,278
1539,None,300,278
1543,None,300,278
1546,None,299,278
1550,None,299,278
1554,None,299,278
1557,None,299,278
1561,None,299,278
1564,None,299,279
1568,None,298,276
1571,None,299,278
1575,None,299,279
1579,None,299,278
1582,None,299,278
1586,None,299,278
1589,None,299,276
1593,None,299,278
1596,None,299,278
1600,None,299,278
1604,None,300,278
1607,None,299,278
1611,None,299,278
1614,None,300,278
1618,None,299,278
1621,None,299,278
1625,None,299,278
1629,None,299,278
1632,None,299,278
1636,None,300,279
1639,None,300,280
1643,None,300,279
1646,None,300,278
1650,None,300,280
1654,None,300,278
1657,None,300,279
1661,None,301,280
1664,None,300,279
1668,None,300,279
1671,None,300,277
1675,None,301,279
1679,None,301,279
1682,None,301,280
1686,None,301,279
1689,None,301,278
1693,None,301,280
1696,None,301,279
1700,None,301,279
1704,None,301,280
1707,None,301,280
1711,None,301,279
1714,None,301,280
1718,None,301,279
1721,None,301,280
1725,None,301,280
1729,None,301,280
1732,None,301,280
1736,None,301,279
1739,None,301,280
1743,None,301,280
1746,None,301,280
1750,None,301,280
1754,None,301,278
1757,None,300,280
1761,None,301,280
1764,None,301,280
1768,None,301,280
1771,None,301,279
1775,None,301,280
1779,None,301,280
1782,None,302,280
1786,None,302,280
1789,None,301,280
1793,None,301,282
1796,None,301,280
1800,None,301,280
1804,None,301,280
1807,None,301,280
1811,None,301,280
1814,None,301,280
1818,None,302,280
1821,None,302,280
1825,None,302,280
1829,None,302,280
1832,None,302,280
1836,None,302,281
1839,None,302,280
1843,None,302,280
1846,None,301,280
1850,None,302,281
1854,None,302,279
1857,None,301,281
1861,None,302,280
1864,None,302,281
1868,None,302,281
1871,None,302,280
1875,None,302,281
1879,None,302,280
1882,None,302,282
1886,None,302,280
1889,None,302,282
1893,None,302,280
1896,None,302,279
1900,None,302,282
1904,None,302,280
1907,None,302,281
1911,None,302,282
1914,None,302,281
1918,None,302,282
1921,None,302,282
1925,None,302,282
1929,None,302,282
1932,None,302,281
1936,None,302,281
1939,None,302,282
1943,None,302,282
1946,None,302,281
1950,None,302,281
1954,None,302,280
1957,None,302,281
1961,None,302,280
1964,None,302,280
1968,None,302,280
1971,None,302,281
1975,None,302,280
1979,None,302,281
1982,None,302,281
1986,None,302,281
1989,None,302,281
1993,None,302,280
1996,None,302,280
2000,None,302,282
2004,None,302,280
2007,None,302,282
2011,None,302,281
2014,None,302,281
2018,None,302,282
2021,None,302,280
2025,None,302,280
2029,None,302,280
2032,None,302,280
2036,None,302,281
2039,None,302,281
2043,None,302,282
2046,None,302,281
2050,None,302,280
2054,None,302,281
2057,None,302,280
2061,None,302,281
2064,None,302,281
2068,None,302,282
2071,None,302,281
2075,None,302,281
2079,None,302,281
2082,None,302,282
2086,None,302,282
2089,None,302,281
2093,None,302,282
2096,None,302,282
2100,None,303,282
2104,None,303,282
2107,None,303,282
2111,None,303,282
2114,None,303,282
2118,None,303,282
2121,None,303,282
2125,None,303,282
2129,None,303,282
2132,None,304,282
2136,None,304,282
2139,None,304,282
2143,None,304,282
2146,None,304,282
2150,None,304,282
2154,None,304,282
2157,None,304,282
2161,None,304,282
2164,None,304,283
2168,None,304,283
2171,None,305,283
2175,None,305,282
2179,None,304,282
2182,None,305,282
2186,None,305,284
2189,None,305,283
2193,None,305,283
2196,None,305,283
2200,None,305,284
2204,None,305,284
2207,None,305,283
2211,None,305,284
2214,None,306,283
2218,None,305,284
2221,None,306,284
2225,None,306,284
2229,None,306,284
2232,None,305,283
2236,None,306,284
2239,None,306,284
2243,None,306,285
2246,None,305,285
2250,None,307,285
2254,None,307,284
2257,None,307,285
2261,None,307,285
2264,None,307,285
2268,None,307,285
2271,None,307,285
2275,None,307,285
2279,None,307,286
2282,None,307,286
2286,None,308,285
2289,None,307,286
2293,None,308,286
2296,None,308,286
2300,None,308,287
2304,None,308,287
2307,None,308,287
2311,None,308,288
2314,None,308,288
2318,None,308,287
2321,None,308,288
2325,None,308,288
2329,None,309,288
2332,None,309,288
2336,None,309,288
2339,None,309,288
2343,None,309,288
2346,None,309,288
2350,None,310,288
2354,None,310,288
2357,None,310,288
2361,None,310,288
2364,None,310,289
2368,None,310,289
2371,None,310,289
2375,None,310,289
2379,None,310,288
2382,None,310,289
2386,None,310,289
2389,None,310,290
2393,None,310,289
2396,None,311,289
2400,None,311,290
2404,None,311,290
2407,None,311,289
2411,None,311,290
2414,None,311,291
2418,None,311,291
2421,None,311,291
2425,None,311,291
2429,None,312,290
2432,None,312,290
2436,None,312,291
2439,None,311,291
2443,None,312,290
2446,None,312,290
2450,None,312,291
2454,None,312,291
2457,None,311,291
2461,None,312,291
2464,None,312,291
2468,None,312,291
2471,None,311,291
2475,None,312,291
2479,None,312,292
2482,None,312,292
2486,None,312,291
2489,None,312,292
2493,None,311,292
2496,None,312,292
2500,None,312,290
2504,None,312,291
2507,None,312,290
2511,None,312,290
2514,None,312,291
2518,None,312,291
2521,None,312,290
2525,None,312,290
2529,None,312,291
2532,None,312,291
2536,None,312,290
2539,None,312,291
2543,None,312,291
2546,None,312,291
2550,None,312,291
2554,None,312,291
2557,None,312,292
2561,None,312,291
2564,None,312,291
2568,None,312,292
2571,None,312,291
2575,None,312,292
2579,None,312,290
2582,None,312,291
2586,None,312,291
2589,None,312,292
2593,None,312,291
2596,None,312,291
2600,None,312,291
2604,None,312,292
2607,None,312,291
2611,None,312,291
2614,None,313,292
2618,None,312,291
2621,None,312,291
2625,None,312,290
2629,None,313,291
2632,None,312,291
2636,None,312,291
2639,None,312,291
2643,None,313,289
2646,None,312,291
2650,None,312,291
2654,None,313,291
2657,None,313,290
2661,None,313,289
2664,None,312,291
2668,None,313,290
2671,None,313,290
2675,None,313,291
2679,None,312,291
2682,None,312,291
2686,None,313,290
2689,None,313,291
2693,None,313,291
2696,None,313,291
2700,None,313,291
2704,None,313,291
2707,None,313,291
2711,None,313,291
2714,None,313,292
2718,None,313,291
2721,None,313,291
2725,None,313,292
2729,None,313,291
2732,None,313,291
2736,None,313,291
2739,None,313,291
2743,None,313,292
2746,None,313,292
2750,None,313,292
2754,None,313,292
2757,None,313,292
2761,None,313,291
2764,None,313,291
2768,None,313,291
2771,None,313,291
2775,None,313,291
2779,None,313,292
2782,None,313,292
2786,None,314,292
2789,None,313,292
2793,None,313,291
2796,None,313,292
2800,None,313,292
2804,None,313,292
2807,None,313,292
2811,None,313,292
2814,None,313,292
2818,None,314,292
2821,None,313,292
2825,None,313,292
2829,None,313,292
2832,None,313,292
2836,None,313,291
2839,None,313,292
2843,None,313,292
2846,None,313,292
2850,None,314,292
2854,None,313,292
2857,None,313,292
2861,None,313,292
2864,None,314,292
2868,None,314,292
2871,None,314,292
2875,None,314,291
2879,None,314,292
2882,None,314,292
2886,None,314,292
2889,None,314,292
2893,None,313,292
2896,None,314,292
2900,None,314,292
2904,None,314,292
2907,None,313,292
2911,None,313,291
2914,None,313,292
2918,None,313,292
2921,None,313,292
2925,None,313,292
2929,None,313,292
2932,None,313,291
2936,None,313,292
2939,None,313,292
2943,None,313,292
2946,None,313,292
2950,None,313,291
2954,None,313,292
2957,None,313,292
2961,None,313,292
2964,None,313,291
2968,None,313,292
2971,None,313,292
2975,None,313,292
2979,None,313,292
2982,None,313,291
2986,None,313,292
2989,None,313,291
2993,None,313,292
2996,None,313,292
3000,None,313,291
3004,None,313,291
3007,None,313,291
3011,None,313,292
3014,None,313,292
3018,None,312,292
3021,None,313,291
3025,None,313,292
3029,None,313,291
3032,None,313,291
3036,None,313,291
3039,None,313,292
3043,None,312,291
3046,None,313,291
3050,None,312,291
3054,None,312,291
3057,None,312,291
3061,None,312,291
3064,None,312,291
3068,None,312,291
3071,None,312,291
3075,None,312,291
3079,None,312,291
3082,None,312,291
3086,None,312,291
3089,None,312,291
3093,None,312,291
3096,None,312,291
3100,None,312,291
3104,None,312,290
3107,None,312,290
3111,None,312,291
3114,None,312,291
3118,None,312,291
3121,None,312,290
3125,None,312,290
3129,None,312,291
3132,None,312,290
3136,None,312,290
3139,None,312,290
3143,None,312,289
3146,None,312,290
3150,None,312,289
3154,None,312,289
3157,None,312,289
3161,None,312,289
3164,None,312,289
3168,None,312,290
3171,None,312,290
3175,None,312,289
3179,None,312,290
3182,None,312,290
3186,None,312,289
3189,None,312,289
3193,None,312,289
3196,None,312,289
3200,None,312,290
3204,None,312,290
3207,None,312,290
3211,None,312,290
3214,None,312,290
3218,None,312,290
3221,None,312,290
3225,None,312,289
3229,None,312,289
3232,None,312,289
3236,None,312,289
3239,None,312,289
3243,None,312,289
3246,None,312,290
3250,None,312,289
3254,None,312,289
3257,None,312,290
3261,None,312,291
3264,None,312,289
3268,None,312,289
3271,None,312,289
3275,None,313,289
3279,None,313,291
3282,None,312,290
3286,None,313,289
3289,None,312,291
3293,None,312,290
3296,None,312,289
3300,None,313,291
3304,None,313,290
3307,None,313,290
3311,None,313,290
3314,None,313,289
3318,None,313,291
3321,None,313,291
3325,None,313,291
3329,None,313,291
3332,None,313,290
3336,None,313,291
3339,None,313,291
3343,None,313,291
3346,None,313,292
3350,None,313,290
3354,None,313,291
3357,None,313,290
3361,None,313,291
3364,None,314,291
3368,None,314,291
3371,None,314,291
3375,None,314,291
3379,None,314,292
3382,None,314,291
3386,None,314,292
3389,None,314,291
3393,None,314,292
3396,None,314,292
3400,None,314,292
3404,None,314,292
3407,None,314,292
3411,None,314,292
3414,None,315,292
3418,None,314,292
3421,None,315,292
3425,None,315,292
3429,None,315,292
3432,None,315,292
3436,None,315,292
3439,None,315,292
3443,None,315,292
3446,None,315,293
3450,None,315,292
3454,None,315,292
3457,None,315,292
3461,None,315,292
3464,None,315,292
3468,None,315,293
3471,None,315,292
3475,None,315,292
3479,None,315,292
3482,None,315,292
3486,None,315,292
3489,None,315,292
3493,None,315,292
3496,None,315,292
3500,None,315,292
3504,None,315,292
3507,None,315,292
3511,None,315,292
3514,None,315,292
3518,None,315,291
3521,None,315,291
3525,None,315,292
3529,None,315,292
3532,None,315,292
3536,None,315,292
3539,None,315,292
3543,None,315,292
3546,None,315,292
3550,None,315,292
3554,None,315,293
3557,None,315,292
3561,None,315,293
3564,None,315,292
3568,None,315,292
3571,None,315,292
3575,None,315,292
3579,None,315,292
3582,None,315,292
3586,None,315,292
3589,None,315,292
3593,None,317,292
3596,None,315,292
3600,None,315,292
3604,None,315,292
3607,None,316,292
3611,None,316,292
3614,TA-OS,316,292
3618,None,316,293
3621,MC-OS,316,293
3625,None,316,293
3629,None,317,293
3632,None,317,293
3636,None,317,293
3639,None,317,296
3643,None,317,295
3646,None,317,294
3650,None,317,295
3654,None,317,294
3657,None,317,295
3661,None,317,293
3664,None,317,295
3668,None,316,295
3671,None,314,293
3675,None,313,289
3679,None,312,284
3682,None,312,276
3686,None,313,265
3689,None,301,247
3693,None,282,229
3696,None,269,208
3700,None,257,195
3704,None,245,185
3707,None,238,178
3711,None,232,174
3714,None,231,174
3718,None,231,174
3721,None,232,178
3725,None,237,181
3729,None,239,185
3732,None,243,189
3736,None,248,193
3739,None,252,198
3743,None,257,202
3746,None,262,205
3750,None,264,208
3754,None,266,202
3757,None,268,217
3761,None,271,220
3764,None,273,223
3768,None,275,226
3771,None,278,229
3775,None,280,232
3779,None,282,235
3782,None,282,238
3786,None,285,240
3789,None,286,242
3793,None,288,244
3796,None,288,247
3800,None,290,248
3804,None,291,250
3807,None,292,252
3811,None,292,252
3814,None,293,254
3818,None,296,256
3821,None,294,257
3825,None,297,258
3829,None,295,259
3832,None,296,260
3836,None,296,261
3839,None,295,258
3843,None,295,261
3846,None,296,261
3850,None,295,260
3854,None,295,261
3857,None,294,261
3861,None,294,260
3864,None,294,261
3868,None,294,260
3871,None,294,261
3875,None,294,261
3879,None,294,262
3882,None,294,262
3886,None,294,262
3889,None,294,262
3893,None,295,262
3896,None,296,263
3900,None,296,266
3904,None,297,264
3907,None,297,268
3911,None,297,264
3914,None,297,263
3918,None,298,268
3921,None,298,269
3925,None,298,269
3929,None,298,267
3932,None,298,271
3936,None,299,268
3939,None,300,272
3943,None,300,272
3946,None,300,273
3950,None,301,273
3954,None,301,273
3957,None,301,275
3961,None,302,275
3964,None,302,275
3968,None,302,275
3971,None,302,277
3975,None,302,277
3979,None,303,277
3982,None,302,277
3986,None,303,278
3989,None,303,273
3993,None,304,278
3996,None,304,279
4000,None,304,278
4004,None,305,279
4007,None,305,279
4011,None,305,278
4014,None,305,279
4018,None,305,280
4021,None,306,280
4025,None,306,280
4029,None,305,281
4032,None,307,282
4036,None,307,281
4039,None,307,282
4043,None,307,281
4046,None,307,281
4050,None,307,282
4054,None,308,282
4057,None,308,282
4061,None,308,282
4064,None,308,282
4068,None,308,282
4071,None,308,283
4075,None,308,283
4079,None,308,284
4082,None,308,282
4086,None,308,282
4089,None,308,283
4093,None,308,283
4096,None,308,283
4100,None,308,282
4104,None,308,282
4107,None,308,283
4111,None,308,283
4114,None,308,283
4118,None,308,283
4121,None,308,283
4125,None,309,283
4129,None,309,285
4132,None,309,285
4136,None,309,285
4139,None,309,283
4143,None,309,284
4146,None,309,284
4150,None,309,284
4154,None,309,285
4157,None,309,285
4161,None,310,285
4164,None,310,284
4168,None,310,285
4171,None,310,285
4175,None,310,286
4179,None,310,286
4182,None,310,286
4186,None,310,285
4189,None,311,285
4193,None,311,286
4196,None,311,286
4200,None,311,285
4204,None,311,285
4207,None,311,288
4211,None,311,286
4214,None,311,286
4218,None,311,286
4221,None,311,286
4225,None,311,286
4229,None,311,287
4232,None,311,286
4236,None,311,287
4239,None,311,287
4243,None,311,288
4246,None,310,288
4250,None,311,288
4254,None,311,286
4257,None,310,286
4261,None,311,288
4264,None,311,287
4268,None,311,288
4271,None,311,288
4275,None,311,288
4279,None,311,287
4282,None,311,288
4286,None,310,286
4289,None,311,286
4293,None,310,288
4296,None,311,287
4300,None,311,288
4304,None,311,287
4307,None,310,288
4311,None,310,288
4314,None,311,288
4318,None,311,287
4321,None,311,288
4325,None,311,287
4329,None,311,288
4332,None,311,287
4336,None,311,288
4339,None,311,288
4343,None,311,288
4346,None,311,288
4350,None,311,288
4354,None,311,288
4357,None,311,288
4361,None,311,288
4364,None,311,288
4368,None,311,288
4371,None,311,288
4375,None,311,288
4379,None,311,288
4382,None,310,286
4386,None,310,288
4389,None,310,287
4393,None,310,286
4396,None,310,286
4400,None,309,287
4404,None,310,287
4407,None,309,286
4411,None,309,286
4414,None,309,286
4418,None,309,286
4421,None,309,285
4425,None,309,285
4429,None,309,285
4432,None,309,286
4436,None,309,286
4439,None,309,286
4443,None,309,285
4446,None,309,284
4450,None,309,284
4454,None,309,285
4457,None,309,283
4461,None,309,284
4464,None,309,284
4468,None,309,284
4471,None,309,283
4475,None,309,284
4479,None,308,285
4482,None,309,283
4486,None,309,283
4489,None,309,284
4493,None,309,285
4496,None,309,285
4500,None,309,284
4504,None,309,283
4507,None,308,285
4511,None,308,284
4514,None,308,284
4518,None,308,283
4521,None,308,284
4525,None,308,283
4529,None,308,283
4532,None,308,283
4536,None,308,283
4539,None,308,282
4543,None,308,282
4546,None,308,283
4550,None,308,283
4554,None,308,283
4557,None,308,283
4561,None,308,282
4564,None,308,283
4568,None,308,283
4571,None,308,283
4575,None,308,283
4579,None,308,284
4582,None,308,283
4586,None,308,284
4589,None,308,283
4593,None,308,283
4596,None,308,283
4600,None,308,284
4604,None,308,283
4607,None,308,285
4611,None,308,284
4614,None,308,284
4618,None,308,283
