PSI,latency,initialVelocity,timeToClose,timeToOpen,timeUnder20,oscillations,oscillationRate,blinks,blinkRate,auc,maxCloseVelocity,maxOpenVelocity,excursion,timeToOscil
30,40.875,5.57625,32.875,154.125,67.125,8,2.22375,3.5,58.18125,19603.1875,10.9175,3.5325,145.875,237.625
29.9,42,5.662,31.6,187.8,64.4,8.2,2.298,3.2,54.216,22731.2,11.6,3.116,146.2,247.2
3.75,60.66666667,4.5,30.66666667,139.3333333,84.66666667,7.333333333,1.973333333,3,52.29,16722.83333,8.056666667,3.443333333,123.6666667,269
15.1,49.83333333,5.645,31.16666667,149.3333333,61.16666667,6.571428571,1.831428571,2.857142857,48.34714286,18975.91667,11.27833333,4.333333333,150.1666667,251.8333333
60.5,40,5.665,29.625,207.875,85.625,7,1.99125,3.125,52.8375,24972.125,10.625,3.42625,146,179.75
60.8,38.71428571,5.474285714,29.85714286,205.1428571,88,6.142857143,1.7,2.428571429,42.59714286,24713.07143,11.28571429,2.857142857,143.1428571,243
15.1,54.625,5.46375,29.625,153.625,69.625,5.25,1.46375,2.375,39.5225,19089.0625,9.66625,4.145,142.75,304.125
3.8,68,2.77,37.5,91,48,3.333333333,0.863333333,1.333333333,21.24333333,9055.25,5.665,1.5,99.5,1001.5
7.6,64,4.717142857,31.57142857,142,70,4.285714286,1.19,1.857142857,30.93142857,16127.21429,7.5,2.405714286,128.2857143,777.4285714
30.3,45.125,5.58,31.75,189.5,62.625,5.875,1.60875,2.75,45.1325,22653,9.95875,3.00125,146.5,365.5
7.6,68,4.3,32,93,43,6.5,1.715,2,31.975,9664,6,2.33,116,336
7.7,61.125,5.23625,32.5,113.5,50.125,4.75,1.35125,2.125,36.53,14359.3125,10.16625,3.4575,141.875,734
3.75,64,3.79,36,89,36,3.5,0.995,1.5,26.245,9265,6.33,1.67,114,736
60.4,39,5.265,31.375,170.25,76.125,6.375,1.7375,2.875,47.49625,20607.8125,9.85375,3.74,140.75,374.125
29.8,44.5,5.34125,31.375,149.125,65.5,5,1.41375,2.5,42.2775,18448.875,9.9575,3.0825,142.25,398.125
15.6,53.71428571,5.211428571,32,137.8571429,57.28571429,6.285714286,1.71,2.571428571,41.29714286,16848.64286,9.38,3.178571429,140.5714286,395.2857143
15.4,50.57142857,5.238571429,30,143,64.85714286,5.25,1.42875,2.75,44.47875,17437.64286,9.071428571,3.307142857,138.7142857,298
30.1,42,5.45125,30.375,150,76.125,6.625,1.84875,3.25,54.94375,19008,11.5,3.95875,142.375,365.625
60.4,36.625,5.3225,29.625,175.625,81,7.125,1.97375,2.875,48.53,21239.875,10.37625,3.42625,140.125,275.625
7.5,58.33333333,5.176666667,32.16666667,124.6666667,59,3.857142857,1.051428571,2,32.88142857,14978.58333,9.166666667,3.11,137.3333333,860
15.1,52.14285714,5.184285714,29,134.2857143,71.14285714,6.428571429,1.687142857,2.714285714,43.58285714,16208.71429,9.035714286,3.165714286,133.5714286,308.5714286
7.7,53.6,4.766,34.2,121.4,55.8,5,1.466,2.8,49.908,14929.8,8.218,3.166,138.6,1071.6
61,39.75,5.3675,30.625,162.125,76.125,5.375,1.565,2.5,43.57875,19687.25,10.79125,3.10375,141.125,313.375
3.75,56,4.615,33,114.25,51,4.25,1.0575,2.25,33.225,13400.375,8.835,2.5625,130,317.75
3.75,57,3.643333333,31,104.6666667,50,3.666666667,1.06,2,33.95666667,9948.166667,6.916666667,4.03,105.6666667,2333.666667
30,48.625,5.37875,30,152.5,75.75,6,1.7075,2.875,48.32875,18581.8125,10.66625,2.95875,138.5,274.125
