Time (mSec),Stimulus (Code),Right (OD),Left (OS)
0,None,319,326
4,None,320,325
7,None,320,325
11,None,320,325
14,None,320,325
18,None,322,326
21,None,322,326
25,None,320,325
29,None,320,325
32,None,320,325
36,None,320,326
39,None,318,326
43,None,320,324
46,None,320,324
50,None,323,326
54,None,322,326
57,None,322,324
61,None,318,326
64,None,323,325
68,None,323,326
71,None,323,324
75,None,323,324
79,None,319,326
82,None,323,326
86,None,320,326
89,None,323,328
93,None,324,327
96,None,324,327
100,None,324,330
104,None,320,330
107,None,323,327
111,None,320,330
114,None,323,327
118,None,320,326
121,None,320,327
125,None,321,331
129,None,320,331
132,None,321,326
136,None,324,330
139,None,323,326
143,None,323,331
146,None,321,326
150,None,320,327
154,None,320,326
157,None,320,326
161,None,320,331
164,None,320,331
168,None,320,331
171,None,320,326
175,None,320,326
179,None,319,326
182,None,319,326
186,None,320,331
189,None,320,331
193,None,322,325
196,None,320,331
200,None,323,326
204,None,320,326
207,None,319,325
211,None,320,326
214,None,320,331
218,None,320,326
221,None,320,326
225,None,320,326
229,None,319,326
232,None,319,330
236,None,320,326
239,None,319,326
243,None,323,326
246,None,322,326
250,None,322,331
254,None,319,326
257,None,320,326
261,None,321,331
264,None,319,326
268,None,320,331
271,None,323,326
275,None,323,331
279,None,325,331
282,None,320,326
286,None,320,326
289,None,323,326
293,None,319,326
296,None,320,326
300,None,320,326
304,None,319,326
307,None,324,326
311,None,320,331
314,None,324,326
318,None,323,330
321,None,319,331
325,None,320,326
329,None,319,326
332,None,323,326
336,None,323,326
339,None,321,326
343,None,323,326
346,None,319,325
350,None,320,325
354,None,320,330
357,None,321,324
361,None,324,324
364,None,324,324
368,None,324,324
371,None,321,324
375,None,321,324
379,None,321,324
382,None,321,324
386,None,327,324
389,None,323,324
393,None,322,324
396,None,327,324
400,None,320,324
404,None,321,324
407,None,323,323
411,None,327,324
414,None,323,324
418,None,320,323
421,None,327,330
425,None,327,323
429,None,334,323
432,None,334,323
436,None,327,323
439,None,327,323
443,None,334,323
446,None,327,323
450,None,334,323
454,None,327,323
457,None,327,323
461,None,321,323
464,None,334,323
468,None,328,323
471,None,334,323
475,None,327,323
479,None,321,323
482,None,321,323
486,None,327,323
489,None,321,323
493,None,321,323
496,None,334,323
500,None,321,323
504,None,321,323
507,None,321,323
511,None,327,330
514,None,327,323
518,None,324,323
521,None,334,323
525,None,321,330
529,None,321,324
532,None,321,323
536,None,327,323
539,None,321,323
543,None,321,323
546,None,321,323
550,None,321,323
554,None,327,323
557,None,321,323
561,None,321,323
564,None,327,323
568,None,327,323
571,None,321,323
575,None,327,323
579,None,321,323
582,None,321,323
586,None,321,323
589,None,321,323
593,None,321,324
596,None,334,323
600,None,327,324
604,None,321,323
607,None,327,324
611,None,328,324
614,None,327,324
618,None,321,331
621,None,321,323
625,None,327,331
629,TA-OD,335,331
632,None,328,331
636,MC-OD,321,331
639,None,328,331
643,None,335,324
646,None,328,331
650,None,335,324
654,None,328,324
657,None,328,324
661,None,335,324
664,None,328,331
668,None,335,324
671,None,335,324
675,None,327,323
679,None,321,323
682,None,332,323
686,None,330,323
689,None,322,324
693,None,312,320
696,None,301,318
700,None,290,315
704,None,279,312
707,None,258,306
711,None,235,292
714,None,205,282
718,None,177,265
721,None,150,248
725,None,133,230
729,None,124,215
732,None,120,202
736,None,117,192
739,None,116,180
743,None,116,182
746,None,117,181
750,None,117,181
754,None,118,181
757,None,118,183
761,None,119,186
764,None,121,191
768,None,125,198
771,None,126,204
775,None,132,211
779,None,133,218
782,None,132,223
786,None,142,231
789,None,148,227
793,None,158,245
796,None,159,252
800,None,169,259
804,None,177,267
807,None,186,272
811,None,194,278
814,None,203,282
818,None,212,287
821,None,219,290
825,None,227,296
829,None,233,301
832,None,240,304
836,None,245,307
839,None,251,309
843,None,256,311
846,None,262,312
850,None,265,314
854,None,270,316
857,None,275,316
861,None,278,317
864,None,282,318
868,None,286,318
871,None,289,318
875,None,292,319
879,None,298,319
882,None,300,320
886,None,302,320
889,None,305,321
893,None,307,321
896,None,308,322
900,None,311,322
904,None,312,323
907,None,313,322
911,None,317,323
914,None,322,324
918,None,322,324
921,None,325,326
925,None,326,331
929,None,328,327
932,None,316,332
936,None,317,332
939,None,318,333
943,None,319,335
946,None,320,334
950,None,321,335
954,None,322,340
957,None,322,341
961,None,327,341
964,None,324,341
968,None,324,342
971,None,326,342
975,None,329,342
979,None,339,342
982,None,330,342
986,None,330,342
989,None,339,342
993,None,339,342
996,None,338,342
1000,None,338,342
1004,None,338,342
1007,None,338,342
1011,None,338,343
1014,None,338,342
1018,None,338,342
1021,None,338,342
1025,None,338,342
1029,None,338,342
1032,None,337,342
1036,None,337,342
1039,None,337,342
1043,None,337,342
1046,None,336,342
1050,None,336,342
1054,None,336,342
1057,None,335,342
1061,None,335,342
1064,None,335,342
1068,None,335,342
1071,None,328,342
1075,None,328,341
1079,None,328,341
1082,None,327,341
1086,None,328,342
1089,None,327,341
1093,None,327,341
1096,None,328,341
1100,None,327,337
1104,None,327,341
1107,None,327,341
1111,None,327,341
1114,None,327,341
1118,None,327,341
1121,None,324,341
1125,None,327,342
1129,None,327,341
1132,None,327,341
1136,None,327,341
1139,None,327,341
1143,None,327,342
1146,None,328,342
1150,None,327,341
1154,None,327,341
1157,None,328,342
1161,None,328,342
1164,None,328,342
1168,None,328,342
1171,None,328,342
1175,None,328,342
1179,None,328,338
1182,None,328,342
1186,None,328,342
1189,None,328,342
1193,None,328,342
1196,None,328,342
1200,None,328,342
1204,None,328,337
1207,None,328,342
1211,None,328,342
1214,None,328,337
1218,None,328,341
1221,None,328,342
1225,None,328,342
1229,None,328,338
1232,None,328,342
1236,None,328,338
1239,None,328,341
1243,None,328,342
1246,None,328,342
1250,None,328,342
1254,None,328,342
1257,None,328,341
1261,None,324,341
1264,None,327,341
1268,None,327,337
1271,None,323,337
1275,None,323,336
1279,None,322,336
1282,None,322,329
1286,None,321,328
1289,None,320,327
1293,None,318,325
1296,None,328,322
1300,None,319,320
1304,None,309,317
1307,None,300,314
1311,None,292,313
1314,None,284,306
1318,None,275,295
1321,None,272,288
1325,None,262,276
1329,None,254,266
1332,None,235,254
1336,None,220,242
1339,None,205,223
1343,None,192,220
1346,None,180,211
1350,None,171,203
1354,None,163,197
1357,None,156,192
1361,None,151,188
1364,None,147,182
1368,None,144,178
1371,None,141,175
1375,None,140,174
1379,None,141,176
1382,None,142,176
1386,None,145,180
1389,None,151,186
1393,None,155,192
1396,None,159,200
1400,None,165,208
1404,None,174,216
1407,None,182,224
1411,None,190,232
1414,None,196,239
1418,None,202,246
1421,None,210,252
1425,None,217,258
1429,None,223,263
1432,None,229,269
1436,None,236,276
1439,None,241,281
1443,None,246,284
1446,None,252,287
1450,None,258,292
1454,None,261,295
1457,None,267,298
1461,None,272,301
1464,None,278,303
1468,None,283,305
1471,None,288,308
1475,None,289,309
1479,None,292,311
1482,None,294,312
1486,None,298,313
1489,None,301,315
1493,None,303,316
1496,None,302,317
1500,None,302,318
1504,None,320,318
1507,None,304,319
1511,None,324,321
1514,None,307,320
1518,None,327,322
1521,None,308,322
1525,None,309,322
1529,None,310,323
1532,None,310,324
1536,None,311,325
1539,None,312,326
1543,None,312,329
1546,None,312,326
1550,None,315,330
1554,None,313,325
1557,None,316,330
1561,None,316,331
1564,None,317,326
1568,None,317,331
1571,None,317,331
1575,None,318,331
1579,None,316,332
1582,None,318,332
1586,None,318,332
1589,None,318,332
1593,None,318,332
1596,None,318,332
1600,None,318,332
1604,None,318,332
1607,None,317,332
1611,None,317,332
1614,None,318,326
1618,None,319,332
1621,None,319,332
1625,None,318,332
1629,None,319,327
1632,None,319,332
1636,None,319,332
1639,None,319,332
1643,None,319,332
1646,None,319,327
1650,None,319,327
1654,None,319,332
1657,None,319,332
1661,None,319,332
1664,None,319,332
1668,None,319,332
1671,None,320,332
1675,None,319,332
1679,None,319,332
1682,None,319,332
1686,None,320,327
1689,None,320,332
1693,None,320,332
1696,None,320,332
1700,None,320,332
1704,None,320,333
1707,None,320,333
1711,None,320,333
1714,None,321,333
1718,None,321,333
1721,None,321,333
1725,None,320,333
1729,None,321,333
1732,None,321,333
1736,None,321,333
1739,None,321,328
1743,None,321,334
1746,None,321,333
1750,None,321,333
1754,None,321,333
1757,None,321,333
1761,None,321,334
1764,None,321,333
1768,None,321,333
1771,None,321,333
1775,None,321,333
1779,None,321,333
1782,None,321,328
1786,None,321,332
1789,None,324,332
1793,None,321,332
1796,None,324,332
1800,None,324,332
1804,None,322,332
1807,None,322,332
1811,None,325,332
1814,None,325,332
1818,None,325,332
1821,None,325,332
1825,None,325,332
1829,None,325,332
1832,None,325,333
1836,None,325,333
1839,None,325,332
1843,None,325,332
1846,None,325,332
1850,None,325,332
1854,None,325,333
1857,None,325,333
1861,None,325,332
1864,None,325,333
1868,None,325,333
1871,None,325,333
1875,None,325,333
1879,None,325,333
1882,None,325,329
1886,None,325,329
1889,None,325,329
1893,None,325,333
1896,None,325,333
1900,None,325,333
1904,None,325,333
1907,None,325,329
1911,None,325,333
1914,None,325,333
1918,None,325,333
1921,None,325,333
1925,None,325,333
1929,None,325,333
1932,None,325,328
1936,None,322,328
1939,None,325,332
1943,None,325,332
1946,None,322,332
1950,None,322,332
