Time (msec),Stimulus,Right Top,Left Top,Right Bottom,Left Bottom
0,None,332,344,185,204
4,None,332,343,185,204
7,None,332,343,185,204
11,None,332,343,185,204
14,None,332,343,185,204
18,None,332,343,185,204
21,None,332,343,185,204
25,None,332,344,185,204
29,None,332,343,185,204
32,None,332,343,185,204
36,None,332,343,185,204
39,None,332,343,185,204
43,None,332,343,185,204
46,None,332,343,185,204
50,None,332,343,185,204
54,None,332,343,184,204
57,None,332,343,185,204
61,None,332,343,184,204
64,None,332,343,185,204
68,None,332,343,184,204
71,None,331,343,184,204
75,None,331,343,185,204
79,None,332,343,184,204
82,None,331,343,184,204
86,None,331,343,184,204
89,None,332,343,184,204
93,None,332,343,184,204
96,None,331,343,184,204
100,None,331,343,184,204
104,None,332,343,184,204
107,None,331,343,184,204
111,None,332,343,184,204
114,None,331,343,184,204
118,None,331,343,184,204
121,None,331,343,184,204
125,None,332,343,184,204
129,None,332,343,184,204
132,None,332,343,184,204
136,None,332,343,184,204
139,None,332,343,184,204
143,None,332,343,184,204
146,None,331,343,184,204
150,None,332,343,184,204
154,None,332,343,184,204
157,None,332,343,184,204
161,None,332,343,184,204
164,None,332,343,184,204
168,None,331,343,184,204
171,None,331,343,184,204
175,None,331,342,184,204
179,None,331,342,184,203
182,None,331,342,184,203
186,None,331,343,184,204
189,None,331,343,184,203
193,None,331,343,184,203
196,None,331,343,184,204
200,None,331,343,184,204
204,None,331,343,184,203
207,None,331,343,184,204
211,None,331,342,184,204
214,None,331,342,184,204
218,None,331,342,184,204
221,None,331,343,184,204
225,None,331,343,184,204
229,None,331,343,184,204
232,None,331,343,184,204
236,None,331,343,184,204
239,None,331,343,184,204
243,None,331,343,184,204
246,None,331,343,184,204
250,None,331,343,184,204
254,TA-OS,331,343,184,204
257,None,331,343,184,204
261,MC-OS,331,343,184,204
264,None,331,343,185,204
268,None,331,342,184,204
271,None,331,342,185,204
275,None,331,342,185,204
279,None,331,342,185,204
282,None,331,342,185,204
286,None,331,342,185,204
289,None,331,341,186,205
293,None,330,340,185,205
296,None,330,338,185,205
300,None,328,335,185,206
304,None,327,330,185,206
307,None,325,324,184,206
311,None,319,312,183,206
314,None,309,298,183,205
318,None,297,285,183,205
321,None,287,252,181,208
325,None,269,223,178,201
329,None,239,199,181,192
332,None,216,184,182,180
336,None,187,176,175,171
339,None,171,171,164,167
343,None,162,166,155,162
346,None,157,164,150,160
350,None,155,162,148,157
354,None,153,161,146,156
357,None,152,159,144,154
361,None,150,156,142,150
364,None,147,154,139,148
368,None,143,151,135,145
371,None,140,150,132,143
375,None,138,148,131,141
379,None,136,146,128,139
382,None,135,144,127,138
386,None,134,143,125,136
389,None,132,142,124,135
393,None,131,140,123,134
396,None,130,140,122,133
400,None,131,139,123,133
404,None,133,140,125,133
407,None,135,141,127,135
411,None,141,145,133,138
414,None,148,149,139,142
418,None,152,155,144,149
421,None,161,160,153,154
425,None,171,169,162,163
429,None,186,177,172,171
432,None,203,195,168,184
436,None,220,209,165,189
439,None,228,218,164,191
443,None,238,230,164,191
446,None,247,240,164,192
450,None,256,247,163,188
454,None,268,254,166,193
457,None,278,263,169,195
461,None,283,274,172,195
464,None,286,282,174,195
468,None,289,288,174,198
471,None,294,292,175,199
475,None,298,296,177,201
479,None,303,301,178,201
482,None,307,306,179,202
486,None,310,310,180,202
489,None,315,314,181,203
493,None,318,318,182,203
496,None,321,322,183,204
500,None,324,325,184,204
504,None,326,329,185,203
507,None,328,331,186,203
511,None,330,333,186,203
514,None,331,334,187,203
518,None,332,335,187,204
521,None,333,337,188,204
525,None,335,338,189,205
529,None,336,339,190,206
532,None,338,341,191,207
536,None,339,342,192,207
539,None,341,343,194,208
543,None,343,344,195,209
546,None,345,346,197,211
550,None,346,347,198,212
554,None,347,348,200,213
557,None,348,349,201,214
561,None,349,350,203,215
564,None,349,351,204,216
568,None,350,352,205,217
571,None,351,353,207,217
575,None,351,354,207,218
579,None,351,354,208,218
582,None,351,354,208,219
586,None,351,355,208,219
589,None,351,355,208,219
593,None,351,355,209,220
596,None,351,355,209,220
600,None,351,356,209,220
604,None,351,357,209,221
607,None,352,357,209,221
611,None,352,358,209,221
614,None,353,358,209,222
618,None,353,358,209,222
621,None,353,359,209,223
625,None,353,359,209,223
629,None,353,359,210,224
632,None,353,359,211,224
636,None,354,360,211,225
639,None,354,360,211,225
643,None,355,361,211,226
646,None,356,361,212,227
650,None,356,361,213,227
654,None,357,362,213,228
657,None,357,363,213,228
661,None,358,363,214,228
664,None,359,363,214,229
668,None,359,363,214,229
671,None,359,363,215,229
675,None,360,363,215,229
679,None,360,363,215,229
682,None,360,363,215,229
686,None,356,364,216,224
689,None,356,364,215,224
693,None,356,364,215,224
696,None,356,364,215,224
700,None,356,363,215,224
704,None,356,363,215,224
707,None,355,363,215,224
711,None,355,363,214,224
714,None,355,363,214,224
718,None,355,363,214,224
721,None,355,363,214,224
725,None,354,363,213,224
729,None,355,363,213,224
732,None,354,363,213,224
736,None,354,362,213,224
739,None,353,362,213,224
743,None,352,361,213,224
746,None,352,361,212,223
750,None,352,361,212,223
754,None,351,361,212,223
757,None,351,360,212,223
761,None,351,360,211,223
764,None,350,360,210,223
768,None,350,360,210,222
771,None,349,360,209,222
775,None,349,360,209,222
779,None,348,360,209,222
782,None,348,359,208,221
786,None,348,359,207,221
789,None,347,359,207,220
793,None,347,359,206,220
796,None,347,359,206,220
800,None,347,359,206,220
804,None,347,358,205,219
807,None,347,358,205,219
811,None,347,358,205,219
814,None,347,358,205,219
818,None,347,358,204,219
821,None,347,358,204,219
825,None,346,358,204,219
829,None,346,358,204,218
832,None,345,357,204,218
836,None,345,357,204,218
839,None,345,356,204,218
843,None,344,355,203,218
846,None,343,354,203,217
850,None,342,353,203,217
854,None,342,352,202,217
857,None,342,351,201,217
861,None,341,350,201,216
864,None,341,349,200,216
868,None,341,349,200,215
871,None,340,348,199,215
875,None,340,347,198,215
879,None,339,346,198,214
882,None,338,346,197,214
886,None,337,345,196,214
889,None,336,344,195,213
893,None,334,344,194,213
896,None,334,342,194,213
900,None,333,341,194,213
904,None,332,341,193,212
907,None,331,340,193,212
911,None,331,340,193,212
914,None,329,340,189,211
918,None,329,340,189,211
921,None,329,340,189,211
925,None,329,340,189,211
929,None,330,340,189,211
932,None,330,340,189,211
936,None,330,341,190,211
939,None,331,341,190,211
943,None,331,341,190,212
946,None,332,342,191,212
950,None,332,342,191,212
954,None,332,343,191,212
957,None,332,343,192,213
961,None,332,343,192,213
964,None,332,343,193,213
968,None,333,343,193,214
971,None,333,343,194,214
975,None,333,343,195,214
979,None,333,342,196,215
982,None,332,342,197,215
986,None,331,341,197,215
989,None,329,340,198,216
993,None,327,339,198,216
996,None,325,336,198,216
1000,None,322,332,197,217
1004,None,318,329,196,217
1007,None,314,326,195,216
1011,None,309,321,194,216
1014,None,304,313,193,216
1018,None,298,304,191,214
1021,None,294,298,189,212
1025,None,287,289,187,214
1029,None,282,276,186,215
1032,None,268,253,184,221
1036,None,253,241,185,221
1039,None,238,235,187,217
1043,None,228,226,195,211
1046,None,216,217,197,206
1050,None,206,210,191,202
1054,None,197,204,187,197
1057,None,189,199,181,193
1061,None,183,195,176,190
1064,None,177,192,171,187
1068,None,173,190,167,185
1071,None,170,188,164,183
1075,None,167,186,162,181
1079,None,165,185,159,180
1082,None,162,183,157,178
1086,None,161,182,155,177
1089,None,160,180,155,176
1093,None,159,180,154,175
1096,None,159,180,154,175
1100,None,159,179,154,175
1104,None,158,181,154,176
1107,None,158,182,154,178
1111,None,159,184,154,179
1114,None,160,186,155,181
1118,None,161,189,156,183
1121,None,164,191,158,186
1125,None,167,194,162,189
1129,None,172,200,166,193
1132,None,178,207,173,199
1136,None,188,214,181,203
1139,None,198,221,189,207
1143,None,208,230,194,213
1146,None,217,239,201,217
1150,None,229,245,202,220
1154,None,239,256,194,220
1157,None,250,269,193,217
1161,None,262,279,189,218
1164,None,276,286,190,218
1168,None,284,291,191,217
1171,None,288,296,191,216
1175,None,290,301,191,215
1179,None,295,307,192,217
1182,None,301,313,194,217
1186,None,305,318,196,217
1189,None,309,321,197,218
1193,None,312,324,197,217
1196,None,316,326,198,217
1200,None,322,329,198,217
1204,None,326,332,198,216
1207,None,329,334,199,216
1211,None,330,337,199,215
1214,None,331,340,200,215
1218,None,334,342,199,215
1221,None,335,343,199,215
1225,None,336,344,199,215
1229,None,337,345,199,215
1232,None,338,346,199,215
1236,None,339,347,199,215
1239,None,340,347,199,214
1243,None,340,348,199,215
1246,None,341,348,199,215
1250,None,341,349,199,214
1254,None,342,349,199,214
1257,None,342,349,199,214
1261,None,342,350,200,214
1264,None,343,350,200,214
1268,None,343,350,200,214
1271,None,343,351,200,214
1275,None,343,351,200,214
1279,None,343,351,200,214
1282,None,343,351,200,214
1286,None,343,351,200,214
1289,None,343,351,200,214
1293,None,343,351,200,213
1296,None,343,351,200,213
1300,None,343,351,200,213
1304,None,343,351,200,213
1307,None,343,351,200,213
1311,None,343,351,200,213
1314,None,343,351,200,213
1318,None,343,351,200,213
1321,None,343,351,200,213
1325,None,343,351,200,213
1329,None,343,351,200,213
1332,None,344,351,200,213
1336,None,344,352,200,213
1339,None,344,351,200,213
1343,None,344,352,200,213
1346,None,344,352,200,212
1350,None,344,352,200,212
1354,None,344,352,200,212
1357,None,344,352,200,212
1361,None,344,352,200,212
1364,None,345,352,200,212
1368,None,345,352,200,212
1371,None,344,352,200,212
1375,None,344,352,199,212
1379,None,344,352,199,212
1382,None,344,352,200,212
1386,None,345,352,200,212
1389,None,344,352,199,212
1393,None,344,352,200,212
1396,None,345,352,200,212
1400,None,345,352,200,212
1404,None,345,352,200,212
1407,None,345,352,200,212
1411,None,345,353,200,212
1414,None,345,352,200,212
1418,None,345,353,200,212
1421,None,345,352,200,212
1425,None,345,353,200,212
1429,None,345,353,200,212
1432,None,345,353,200,212
1436,None,345,353,200,212
1439,None,345,353,200,212
1443,None,345,353,200,212
1446,None,345,354,200,212
1450,None,345,354,200,213
1454,None,345,354,200,212
1457,None,345,354,200,212
1461,None,345,354,200,212
1464,None,345,354,200,213
1468,None,346,354,200,213
1471,None,345,354,201,212
1475,None,345,355,200,212
1479,None,346,354,200,212
1482,None,345,354,200,212
1486,None,345,354,200,212
1489,None,345,354,200,212
1493,None,345,354,200,212
1496,None,345,354,200,212
1500,None,345,354,200,212
1504,None,345,355,200,212
1507,None,345,354,200,212
1511,None,345,354,200,212
1514,None,345,354,200,212
1518,None,345,355,200,212
1521,None,345,355,200,212
1525,None,346,355,200,212
1529,None,346,355,200,212
1532,None,345,355,199,212
1536,None,345,355,199,212
1539,None,345,354,199,212
1543,None,345,354,199,212
1546,None,345,354,199,212
1550,None,345,354,199,212
1554,None,345,355,199,212
1557,None,345,355,199,212
1561,None,345,355,199,212
1564,None,345,355,199,212
1568,None,346,355,199,212
1571,None,345,355,199,212
1575,None,345,355,199,212
1579,None,345,354,199,212
1582,None,345,354,199,212
1586,None,345,354,199,212
1589,None,344,353,199,212
1593,None,344,353,199,212
1596,None,344,353,199,212
1600,None,345,352,200,212
1604,None,345,352,200,212
1607,None,344,351,200,212
1611,None,344,351,200,212
1614,None,344,352,200,212
1618,None,344,352,200,212
1621,None,345,352,200,212
1625,None,345,352,200,212
1629,None,345,353,200,212
1632,None,345,353,200,212
1636,None,345,353,200,212
1639,None,345,352,200,212
1643,None,345,352,200,212
1646,None,345,352,200,212
1650,None,344,352,200,212
1654,None,344,351,200,212
1657,None,344,351,200,211
1661,None,344,351,200,211
1664,None,344,351,200,211
1668,None,344,351,200,211
1671,None,344,351,200,211
1675,None,344,351,200,211
1679,None,344,351,200,211
1682,None,344,351,200,211
1686,None,344,351,200,211
1689,None,344,351,200,211
1693,None,344,352,200,211
1696,None,344,352,200,211
1700,None,344,352,200,211
1704,None,344,352,200,211
1707,None,344,352,200,211
1711,None,344,351,200,211
1714,None,344,351,200,211
1718,None,344,351,200,211
1721,None,344,351,199,211
1725,None,344,351,199,211
1729,None,344,351,199,211
1732,None,344,351,199,210
1736,None,344,352,199,210
1739,None,344,351,199,211
1743,None,344,351,199,210
1746,None,344,351,199,210
1750,None,344,351,199,210
1754,None,344,351,199,210
1757,None,344,351,199,210
1761,None,344,351,199,210
1764,None,344,351,199,210
1768,None,344,351,199,210
1771,None,344,351,199,210
1775,None,344,351,199,210
1779,None,344,351,199,210
1782,None,344,350,199,210
1786,None,343,350,198,210
1789,None,343,349,199,210
1793,None,342,348,199,210
1796,None,342,346,199,210
1800,None,340,345,198,210
1804,None,338,344,198,210
1807,None,336,342,197,209
1811,None,331,338,194,209
1814,None,325,332,192,209
1818,None,318,326,190,208
1821,None,310,320,189,208
1825,None,302,312,188,208
1829,None,295,304,186,207
1832,None,290,298,184,206
1836,None,286,292,184,205
1839,None,282,286,183,206
1843,None,271,276,182,208
1846,None,256,258,183,212
1850,None,243,247,187,214
1854,None,236,241,191,216
1857,None,228,237,197,213
1861,None,217,232,198,210
1864,None,211,225,194,205
1868,None,205,219,191,204
1871,None,199,215,190,204
1875,None,195,212,188,202
1879,None,193,211,186,201
1882,None,191,210,184,200
1886,None,190,211,183,201
1889,None,191,214,184,202
1893,None,193,217,186,203
1896,None,196,223,188,203
1900,None,202,230,191,207
1904,None,210,234,194,213
1907,None,215,239,199,214
1911,None,223,244,201,216
1914,None,232,250,200,214
1918,None,238,258,195,214
1921,None,245,270,193,211
1925,None,256,279,187,210
1929,None,266,285,185,211
1932,None,275,289,187,210
1936,None,281,294,188,209
1939,None,284,298,189,209
1943,None,287,301,188,208
1946,None,288,305,188,210
1950,None,291,308,187,211
1954,None,295,312,189,211
1957,None,297,316,189,211
1961,None,302,318,190,211
1964,None,305,321,191,211
1968,None,308,323,192,211
1971,None,311,326,192,211
1975,None,314,328,192,210
1979,None,318,330,193,210
1982,None,320,333,193,210
1986,None,322,334,193,210
1989,None,324,336,193,209
1993,None,325,338,193,209
1996,None,327,339,194,209
2000,None,328,341,194,209
2004,None,329,341,194,209
2007,None,331,342,194,209
